test_mouse,train_mice,n_train_mice,method,model,input,n_train_trials,n_test_trials,n_features,clip_frames,n_classes,shared_labels,accuracy,macro_f1,vec_source,cache_path,best_model
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2505,729,720,240,4,Gabor|NaturalImages|NaturalVideo|RandomDots,0.8724279835390947,0.7532028899724454,cache,multiple,mlp
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2505,729,720,240,4,Gabor|NaturalImages|NaturalVideo|RandomDots,0.8093278463648834,0.5128618642756668,cache,multiple,mlp
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2462,713,720,240,4,GaussianDot|NaturalImages|NaturalVideo|PinkNoise,0.8008415147265077,0.5855986314398531,cache,multiple,mlp
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2462,713,720,240,4,GaussianDot|NaturalImages|NaturalVideo|PinkNoise,0.8288920056100981,0.5994978956311127,cache,multiple,mlp
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2462,713,720,240,4,GaussianDot|NaturalImages|NaturalVideo|PinkNoise,0.8359046283309958,0.5864259754884755,cache,multiple,mlp
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2462,713,720,240,4,GaussianDot|NaturalImages|NaturalVideo|PinkNoise,0.8050490883590463,0.4304372597513323,cache,multiple,mlp
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2511,723,720,240,4,Gabor|GaussianDot|NaturalVideo|RandomDots,0.8824343015214384,0.781930933736579,cache,multiple,logreg
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2511,723,720,240,4,Gabor|GaussianDot|NaturalVideo|RandomDots,0.8879668049792531,0.7742312669370797,cache,multiple,logreg
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2511,723,720,240,4,Gabor|GaussianDot|NaturalVideo|RandomDots,0.8188105117565698,0.5395265342724274,cache,multiple,logreg
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2511,723,720,240,4,Gabor|GaussianDot|NaturalVideo|RandomDots,0.7731673582295989,0.45169345018866225,cache,multiple,logreg
